Chuukese Word	English Meaning	Part of Speech	Example Sentence (Chuukese)	Example Sentence (English)	JW Source Reference	Status	Date Added
Chómmóng	many	adjective	Chómmóng aramas a fen átti pwal pwan fan iten rán.	Many people continue doing so every day.	wol.jw.org/chk/wol/d/r303/lp-te/1102015405	Verified	2025-12-14
aramas	people	noun	Ewe Paipel a áiti ngeni aramas ngeni manawach.	The Bible teaches people about life.	wol.jw.org/chk/wol/d/r303/lp-te/1102015405	Verified	2025-12-14
osukosuk	sickness	noun	Osukosuk a áwora ngeni aramas chok.	Sickness affects all people.	wol.jw.org/chk/wol/d/r303/lp-te/1102015405	Verified	2025-12-14
alapaaló	build up; strengthen (faith/trust)	vt.	Sia tongeni alapaaló ach lúkúlúk ren an met Paipel.	We can build up our trust in what the Bible says.	[wol.jw.org/chk/wol/d/r303/lp-te/1102014893](https://wol.jw.org/chk/wol/d/r303/lp-te/1102014893)	Verified	2025-12-14
etittinafichi	examine carefully	vt.	Sia tongeni etittinafichi ekewe Toropwe mi Pin.	We can carefully examine the Scriptures.	[wol.jw.org/chk/wol/b/r303/lp-te/nwtgs/44/17#study=discover](https://wol.jw.org/chk/wol/b/r303/lp-te/nwtgs/44/17#study=discover)	Verified	2025-12-14
kaiö	carefully; diligently (idiomatic use in Scripture study)	adv.	Sia tongeni káé ewe Paipel kaiö lon ekewe Toropwe mi Pin.	You can study the Bible carefully by examining the Scriptures.	[wol.jw.org/chk/wol/b/r303/lp-te/nwtgs/44/17](https://wol.jw.org/chk/wol/b/r303/lp-te/nwtgs/44/17)	Verified	2025-12-14
chómmóng	hope	n.	"Meinisin minne a férí epwe fis."	"Good things that are hoped for will be done."	https://wol.jw.org	Verified	2025-12-14
aramas	people	n.	"Ekkewe aramas ra tongeni weweiti."	"The people can understand."	https://wol.jw.org	Verified	2025-12-14
ra	relational marker		"Ekkewe aramas ra rong met."	"The people heard these things."	https://wol.jw.org	Verified	2025-12-14
áneánei	good	adj.	"Meinisin áneánei epwe fis."	"Good things will happen."	https://wol.jw.org	Verified	2025-12-14
pwe	that/so that	conj.	"Upwe tongeni pwisin filatá pwe epwe fis."	"We can decide so that it will happen."	https://wol.jw.org	Verified	2025-12-14
epwe	will (future)	aux.	"Ewe Samol epwe mettoch meinisin."	"Jehovah will do powerful things."	https://wol.jw.org	Verified	2025-12-14
fis	happen	v.	"Meinisin epwe fis seni fanüfan."	"Things will happen on earth."	https://wol.jw.org	Verified	2025-12-14
minne	good n.	"Meinisin minne a férí epwe fis."	"Good things will be done."	https://wol.jw.org	Verified	2025-12-14
mi	and	conj.	"Ewe Samol i ewe Emen mi Unusen Tekia."	"Jehovah is the Most High God."	https://wol.jw.org	Verified	2025-12-14
éch	things	n.	"Ekkewe éch epwe fis."	"These things will happen."	https://wol.jw.org	Verified	2025-12-14
nge	but	conj.	"Nge aramas rese tongeni lúkúlúk."	"But people cannot trust."	https://wol.jw.org	Verified	2025-12-14
rese	cannot	aux.	"Aramas rese tongeni pwisin filatá."	"People cannot decide."	https://wol.jw.org	Verified	2025-12-14
tongeni	can	aux.	"Repwe tongeni angei mettoch."	"They will be able to understand."	https://wol.jw.org	Verified	2025-12-14
lúkúlúk	trust	v.	"Ach lúkúlúk epwe alapaalóng."	"Our trust will be strengthened."	https://wol.jw.org	Verified	2025-12-14
ika	or	conj.	"Ka éwe met ika éwe fil."	"This or that."	https://wol.jw.org	Verified	2025-12-14
ar	their (pl.)	pron.	"Ar kana epwe fis."	"Their hopes will be fulfilled."	https://wol.jw.org	Verified	2025-12-14
kana	hope(s)	n.	"Ar kana epwe fis."	"Their hopes will happen."	https://wol.jw.org	Verified	2025-12-14
áneán	good	adj.	"Aneán met epwe fis."	"A good thing will happen."	https://wol.jw.org	Verified	2025-12-14
wesewesen	certainly	adv.	"Ekkewe met epwe wesewesen fis."	"These things will certainly happen."	https://wol.jw.org	Verified	2025-12-14
a	he/she/it	aux.	"A apasa."	"He said."	https://wol.jw.org	Verified	2025-12-14
sókkóló	different	adj.	"Met a sókkóló ren ewe puken."	"The matter is different from the book."	https://wol.jw.org	Verified	2025-12-14
án	of	prep.	"Án Paipel epwe tongeni usun mwich."	"From the Bible you can learn about life."	https://wol.jw.org	Verified	2025-12-14
Paipel	Bible	n.	"Met Paipel epwe alisi ngeni aramas."	"What the Bible says instructs people."	https://wol.jw.org	Verified	2025-12-14
kewe	plural marker		"Ikkewe met epwe fis."	"Those things will happen."	https://wol.jw.org	Verified	2025-12-14
pwon	promise	n.	"Ewe Samol a pwon."	"Jehovah has promised."	https://wol.jw.org	Verified	2025-12-14
sia	we (inclusive)	pron.	"Sia tongeni alapaaló lúkúlúk."	"We can build up trust."	https://wol.jw.org	Verified	2025-12-14
alapaaló	build up	v.	"Ach lúkúlúk epwe alapaalóng."	"Our trust will be strengthened."	https://wol.jw.org	Verified	2025-12-14
ach	our	incl. possessive	"Ach lúkúlúk epwe fis."	"Our trust will result."	https://wol.jw.org	Verified	2025-12-14
lón	in/on	prep.	"Lon ewe Paipel ekkewe met epwe fis."	"In the Bible these things will happen."	https://wol.jw.org	Verified	2025-12-14
met	what (content)	n.	"Met Paipel a apasa epwe fis."	"What the Bible says will happen."	https://wol.jw.org	Verified	2025-12-14
apasa	says	v.	"Ewe puken a apasa ewe mettoch."	"The book says the truth."	https://wol.jw.org	Verified	2025-12-14
ren	about	prep.	"Ren ewe mwachkkan epwe fis."	"About the future it will happen."	https://wol.jw.org	Verified	2025-12-14
etittinafichi	examine carefully	v.	"Repwe etittinafichi ekkewe Toropwe."	"They examined the Scriptures carefully."	https://wol.jw.org	Verified	2025-12-14
are	which/that		"Met are apasa epwe fis."	"The things that are spoken will occur."	https://wol.jw.org	Verified	2025-12-14
kaiö	carefully	adv.	"Repwe mefi pwe repwe kaiö lon ewe puken."	"They examined the scrolls carefully."	https://wol.jw.org	Verified	2025-12-14
lon	inside/in	prep.	"Lon ekewe Toropwe ra tongeni fis."	"In the Scriptures they could see."	https://wol.jw.org	Verified	2025-12-14
ekewe	those	pl.	"Ekewe met repwe fis."	"Those things will occur."	https://wol.jw.org	Verified	2025-12-14
Toropwe	Scriptures	n.	"Repwe kaiö lon ekewe Toropwe."	"They examined the Scriptures carefully."	https://wol.jw.org	Verified	2025-12-14
Pin	holy/true	adj.	"Ewe Pin puken epwe alisi."	"The holy writing teaches."	https://wol.jw.org	Verified	2025-12-14
Atun	as	conj.	"Atun ka káé ewe Paipel."	"As you study the Bible."	https://wol.jw.org	Verified	2025-12-14
ka	you (future marker)	aux.	"Ka tongeni angei met."	"You will understand."	https://wol.jw.org	Verified	2025-12-14
káé	study	v.	"Káé ewe Paipel ren mwachkkan."	"Study the Bible about the future."	https://wol.jw.org	Verified	2025-12-14
ewe	the	article	"ewe Paipel"	"the Bible"	https://wol.jw.org	Verified	2025-12-14
kopwe	you will	aux.	"Kopwe tongeni filatá."	"You will be able to decide."	https://wol.jw.org	Verified	2025-12-14
pwisin	decide/judge	v.	"Kopwe pwisin filatá."	"You will judge/decide."	https://wol.jw.org	Verified	2025-12-14
filatá	judge/decide	v.	"Kopwe filatá ren ewe met."	"You will decide about the matter."	https://wol.jw.org	Verified	2025-12-14
lúkú	believe	v.	"Kopwe lúkú met Paipel."	"You will believe what the Bible says."	https://wol.jw.org	Verified	2025-12-14
usun	about	prep.	"Usun mwachkkan epwe fis."	"About the future it will happen."	https://wol.jw.org	Verified	2025-12-14
mwachkkan	future	n.	"Usun mwachkkan Paipel a apasa."	"About the future the Bible speaks."	https://wol.jw.org	Verified	2025-12-14
