chuukese_word,english_translation,definition,grammar,type,source,collection
eú / ew,1,ordinal number,number,word,,dictionary
rúú,2,ordinal number,number,word,,dictionary
ulungat / unungat / únúngat,3,ordinal number,number,word,,dictionary
rúánú,4,ordinal number,number,word,,dictionary
nimu,5,ordinal number,number,word,,dictionary
wonu / onu,6,ordinal number,number,word,,dictionary
fisu,7,ordinal number,number,word,,dictionary
wanu / wálú,8,ordinal number,number,word,,dictionary
tiu,9,ordinal number,number,word,,dictionary
engol,10,ordinal number,number,word,,dictionary
engol me eú / ew,11,ordinal number,number,word,,dictionary
engol me rúú,12,ordinal number,number,word,,dictionary
engol me ulungat / unungat / únúngat,13,ordinal number,number,word,,dictionary
engol me rúánú,14,ordinal number,number,word,,dictionary
engol me nimu,15,ordinal number,number,word,,dictionary
engol me wonu / onu,16,ordinal number,number,word,,dictionary
engol me fisu,17,ordinal number,number,word,,dictionary
engol me wanu / wálú,18,ordinal number,number,word,,dictionary
engol me tiu,19,ordinal number,number,word,,dictionary
rúe,20,ordinal number,number,word,,dictionary
rúe me eú / ew,21,ordinal number,number,word,,dictionary
rúe me rúú,22,ordinal number,number,word,,dictionary
rúe me ulungat / unungat / únúngat,23,ordinal number,number,word,,dictionary
rúe me rúánú,24,ordinal number,number,word,,dictionary
rúe me nimu,25,ordinal number,number,word,,dictionary
rúe me wonu / onu,26,ordinal number,number,word,,dictionary
rúe me fisu,27,ordinal number,number,word,,dictionary
rúe me wanu / wálú,28,ordinal number,number,word,,dictionary
rúe me tiu,29,ordinal number,number,word,,dictionary
inik,30,ordinal number,number,word,,dictionary
inik me eú / ew,31,ordinal number,number,word,,dictionary
inik me rúú,32,ordinal number,number,word,,dictionary
inik me ulungat / unungat / únúngat,33,ordinal number,number,word,,dictionary
inik me rúánú,34,ordinal number,number,word,,dictionary
inik me nimu,35,ordinal number,number,word,,dictionary
inik me wonu / onu,36,ordinal number,number,word,,dictionary
inik me fisu,37,ordinal number,number,word,,dictionary
inik me wanu / wálú,38,ordinal number,number,word,,dictionary
inik me tiu,39,ordinal number,number,word,,dictionary
fáik,40,ordinal number,number,word,,dictionary
fáik me eú / ew,41,ordinal number,number,word,,dictionary
fáik me rúú,42,ordinal number,number,word,,dictionary
fáik me ulungat / unungat / únúngat,43,ordinal number,number,word,,dictionary
fáik me rúánú,44,ordinal number,number,word,,dictionary
fáik me nimu,45,ordinal number,number,word,,dictionary
fáik me wonu / onu,46,ordinal number,number,word,,dictionary
fáik me fisu,47,ordinal number,number,word,,dictionary
fáik me wanu / wálú,48,ordinal number,number,word,,dictionary
fáik me tiu,49,ordinal number,number,word,,dictionary
time,50,ordinal number,number,word,,dictionary
time me eú / ew,51,ordinal number,number,word,,dictionary
time me rúú,52,ordinal number,number,word,,dictionary
time me ulungat / unungat / únúngat,53,ordinal number,number,word,,dictionary
time me rúánú,54,ordinal number,number,word,,dictionary
time me nimu,55,ordinal number,number,word,,dictionary
time me wonu / onu,56,ordinal number,number,word,,dictionary
time me fisu,57,ordinal number,number,word,,dictionary
time me wanu / wálú,58,ordinal number,number,word,,dictionary
time me tiu,59,ordinal number,number,word,,dictionary
wine,60,ordinal number,number,word,,dictionary
wine me eú / ew,61,ordinal number,number,word,,dictionary
wine me rúú,62,ordinal number,number,word,,dictionary
wine me ulungat / unungat / únúngat,63,ordinal number,number,word,,dictionary
wine me rúánú,64,ordinal number,number,word,,dictionary
wine me nimu,65,ordinal number,number,word,,dictionary
wine me wonu / onu,66,ordinal number,number,word,,dictionary
wine me fisu,67,ordinal number,number,word,,dictionary
wine me wanu / wálú,68,ordinal number,number,word,,dictionary
wine me tiu,69,ordinal number,number,word,,dictionary
fiik,70,ordinal number,number,word,,dictionary
fiik me eú / ew,71,ordinal number,number,word,,dictionary
fiik me rúú,72,ordinal number,number,word,,dictionary
fiik me ulungat / unungat / únúngat,73,ordinal number,number,word,,dictionary
fiik me rúánú,74,ordinal number,number,word,,dictionary
