Entry #,Pseudo-Page,Chuukese Word / Form,Part of Speech,English Definition,Examples,Notes
1,1,ngang,,en	i	ám	ámi	iir	kich,,Extracted from page 1
2,1,(animate),,"nei, noum,	néún,	néúm,	néúmi,	néúr, néúch",,Extracted from page 1
3,2,"-ei, -uk, etc.",,"indicates pronoun and possessive pronoun suffix endings: The suffix endings differ with different words. In this dictionary, the proper suffix endings will be listed with the words along with the English equivalents, which are color coded to match the pronouns and possessive pronouns below.",,Extracted from page 2
4,2,Possessive pronouns:,,"my, your (sing.),	his, hers, its,	our (*excl.)	your (pl.),	their,	our (*incl.)",,Extracted from page 2
5,2,Example: Pronoun: álleasochis,,álleasochisiei,,Extracted from page 2
6,2,obey,,obey me,,Extracted from page 2
7,2,Example: Possessive pronoun: imw,,imwei,,Extracted from page 2
8,2,house,,my house,,Extracted from page 2
9,2,*excl.,,excluding the person (s) to whom you are speaking,,Extracted from page 2
10,2,*incl.,,including the person (s) to whom you are speaking,,Extracted from page 2
11,2,Example: kúna,,kúna i,,Extracted from page 2
12,2,see,,see him,,Extracted from page 2
13,2,Example: álisi,,álisuk,,Extracted from page 2
14,2,to help,,help you,,Extracted from page 2
15,3,Locationals,,These are also included in the dictionary,,Extracted from page 3
16,3,ekkeei,,"these	(people, items, objects, things) ekkan – these	 (a little farther in distance) ekkena – those	 (further away)",,Extracted from page 3
17,3,ekkenan,,those (further away),,Extracted from page 3
18,3,ekkewe,,those	(far away),,Extracted from page 3
19,3,ikeei,,here	(singular) (locationals in order of distance from speaker),,Extracted from page 3
20,3,ika,,there,,Extracted from page 3
21,3,ikena,,over there ikenan – way over there ikewe – there (far away),,Extracted from page 3
22,4,ikkeei,,here	(plural) (locationals in order of distance from speaker),,Extracted from page 4
23,4,ikka,,there,,Extracted from page 4
24,4,ikkena,,over there ikkenan – way over there ikkewe – there	(far away),,Extracted from page 4
25,4,n.,,"noun	(person, place or thing)",,Extracted from page 4
26,4,adj.,,"adjective	(describes a noun or pronoun: big, small, etc.)",,Extracted from page 4
27,4,adv.,,"adverb (adds information about the action, event or situation: fast, slow, etc.)",,Extracted from page 4
28,4,vt.,,verb transitive	(takes on an object),,Extracted from page 4
29,4,prep.,,"preposition	(of, with, by)",,Extracted from page 4
30,5,áá,,v.  to swim,,Extracted from page 5
31,5,áári,,"retieve something while swimming aal – path, road, course	(can be used figuratively)",,Extracted from page 5
32,5,aale ngeni,,"leads to, course to aleló ngeni – leads to",,Extracted from page 5
33,5,aalen,,"path, course of",,Extracted from page 5
34,5,aaleni,,"vt. to take the course of aalelap – main road, large road, path",,Extracted from page 5
35,5,aamam,,v.  deny	(to declare to be untrue),,Extracted from page 5
36,5,áámwa,,"v.  to visit	(a person, family, etc. who is sick or elderly)",,Extracted from page 5
37,6,ákkáámwa,,"visiting, regularly visit	(reduplication also conveys repetitive action)",,Extracted from page 6
38,6,aapaap,,"n.  prejudice, discriminate, bias",,Extracted from page 6
39,6,aapaapen,,"discrimination of aapangaw – be unfair, partial, biased aapépéch – to be fair, impartial",,Extracted from page 6
40,6,aapwi!,,"certainly not!, not at all!, of course not! aapwu! – of course!	(statement of fact)",,Extracted from page 6
41,6,áára,,v.  see when,,Extracted from page 6
42,6,ákkáára,,seeing when	(reduplication also conveys repetitive action),,Extracted from page 6
43,6,áás,,v.  to fly  (birds),,Extracted from page 6
44,7,ákkáasfeil,,v. flying around áásaaló – v. to make fly away áásiireló – v. to make them fly away,,Extracted from page 7
45,7,aasoos,,v.  chat  (informally talking together),,Extracted from page 7
46,7,akkaasoos,,talking story	(reduplication also conveys repetitive action),,Extracted from page 7
47,7,akkaasoosfengen,,talking story together,,Extracted from page 7
48,7,simaak,,"(slang, not generally used because it’s the name of a person)",,Extracted from page 7
49,7,ach,,our	(inclusive)  (stand alone posessive – see page 1 #3,,Extracted from page 7
50,7,achan,,"n.  handle of	(cup, pots)",,Extracted from page 7
51,7,achaanú,,"v.  give up	(physically, as in a race, going to school)",,Extracted from page 7
52,7,achaw,,n.  rock mass,,Extracted from page 7
53,7,áchchika (1),,v.  to waste  (more polite than “asolapa”),,Extracted from page 7
54,7,áchchikan,,wastefulness of,,Extracted from page 7
55,7,ákkáchika,,wasting	(reduplication also conveys repetitive action),,Extracted from page 7
56,7,achchúngú,,"v., vt. to motivate, to move, stimulate (see “chchúng”) áchechchem – n. memorial, rememberance	(also see “chechchemeni”) achéchchénú – v. to water	(make wet)	(see “chéchchén”)",,Extracted from page 7
57,7,áchema,,v.  to remind	(see “chechchemeni”),,Extracted from page 7
58,7,áchengicheng,,"adj.  dear, beloved",,Extracted from page 7
